Citation,Host_Species,Host_Family,Host_Order,HS,WNV_Strain,Virus_Isolate_Date,Isolate_Location,Virus_Genotype,Virus_Dose,Host_Isolate_Location,Sample_Size_Original,Sample_Size_Death,Day,Titer
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,8,1,2.29992185656
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,8,2,4.63880391694
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,8,3,5.69168911934
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,8,4,6.83058094765
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,8,5,6.36933928092
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,3,6,3.90811389407
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,3,7,1.7
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,3,8,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1153,2003,Mexico,C,15000,Colorado,6,6,1,2.64018499958
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1153,2003,Mexico,C,15000,Colorado,6,6,2,5.10148275097
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1153,2003,Mexico,C,15000,Colorado,6,6,3,3.81285892443
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1153,2003,Mexico,C,15000,Colorado,6,6,4,2.52412798482
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1153,2003,Mexico,C,15000,Colorado,6,6,5,2.08962380359
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1153,2003,Mexico,C,15000,Colorado,6,6,6,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1153,2003,Mexico,C,15000,Colorado,6,6,7,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1153,2003,Mexico,C,15000,Colorado,6,6,8,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1461,2003,Mexico,C,15000,Colorado,6,6,1,4.64046808413
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1461,2003,Mexico,C,15000,Colorado,6,6,2,6.24764619022
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1461,2003,Mexico,C,15000,Colorado,6,6,3,3.72984629274
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1461,2003,Mexico,C,15000,Colorado,6,6,4,2.44116890967
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1461,2003,Mexico,C,15000,Colorado,6,5,5,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1461,2003,Mexico,C,15000,Colorado,6,5,6,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1461,2003,Mexico,C,15000,Colorado,6,5,7,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,BIRD1461,2003,Mexico,C,15000,Colorado,6,5,8,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM173-03-pp1,2003,Mexico,C,15000,Colorado,6,6,1,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM173-03-pp1,2003,Mexico,C,15000,Colorado,6,6,2,2.62261845558
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM173-03-pp1,2003,Mexico,C,15000,Colorado,6,6,3,1.83389134144
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM173-03-pp1,2003,Mexico,C,15000,Colorado,6,6,4,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM173-03-pp1,2003,Mexico,C,15000,Colorado,6,6,5,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM173-03-pp1,2003,Mexico,C,15000,Colorado,6,6,6,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM173-03-pp1,2003,Mexico,C,15000,Colorado,6,6,7,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM173-03-pp1,2003,Mexico,C,15000,Colorado,6,6,8,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,15000,California,5,5,1,2.34883744061
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,15000,California,5,5,2,5.99764427748
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,15000,California,5,5,3,7.25059945066
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,15000,California,5,5,4,6.27442445851
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,15000,California,5,4,5,3.02739875902
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,15000,California,5,4,6,2.34273199544
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,15000,California,5,4,7,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,15000,California,5,4,8,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM171-03-pp5,2003,Mexico,C,15000,California,6,6,1,2.59905357949
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM171-03-pp5,2003,Mexico,C,15000,California,6,6,2,4.51868051996
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM171-03-pp5,2003,Mexico,C,15000,California,6,6,3,2.5425514334
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM171-03-pp5,2003,Mexico,C,15000,California,6,6,4,1.75387787579
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM171-03-pp5,2003,Mexico,C,15000,California,6,6,5,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM171-03-pp5,2003,Mexico,C,15000,California,6,6,6,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM171-03-pp5,2003,Mexico,C,15000,California,6,6,7,1.7
Brault et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,TM171-03-pp5,2003,Mexico,C,15000,California,6,6,8,1.7
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,9,9,1,1.7
